held_out_school,n_val,n_val_positive,E_all_ce_noW,G_all_focal_noW,diff
AYED_RC,79,6,1.0,1.0,0.0
KNU_JHS,329,11,0.9525691699604742,0.9475524475524476,-0.0050167224080266415
SHI,92,19,0.9330518421450864,0.8519865393762169,-0.08106530276886947
WEWE,481,50,0.9648402043773353,0.9636463107810578,-0.0011938935962775288
