seed,fold,arm,n_features,fit_seconds,gamma,alpha,accuracy,precision,recall,macro_f1,auc_roc,auc_pr,tn,fp,fn,tp,n,n_positive,base_rate_pct,pred_std,pred_min,pred_max,pred_mean
42,1,E_all_ce_noW,15,0.134680851000212,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999999,142,1,0,14,157,14,8.92,0.2921163412240668,3.64308192719666e-08,0.9999991016958469,0.09501881578760271
42,1,G_all_focal_noW,15,0.09746931700010464,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999999,142,1,0,14,157,14,8.92,0.27813360618777794,0.0023645886614814243,0.9923900539227889,0.10335092103697256
42,1,LEGACY_A,14,0.10400605599988921,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,1.0,142,1,0,14,157,14,8.92,0.291548780482184,2.9078621059456207e-08,0.9999996396757252,0.09491603738341284
42,2,E_all_ce_noW,15,0.10727586700022584,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,0.9985014985014985,0.9873949579831932,143,0,2,12,157,14,8.92,0.2648561706494068,4.667597617639056e-08,0.9999989876893653,0.07650681234838577
42,2,G_all_focal_noW,15,0.09086138500015295,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,0.998001998001998,0.981547619047619,143,0,2,12,157,14,8.92,0.2580402682828567,0.0022859504286374763,0.9950474911268251,0.0877733016841128
42,2,LEGACY_A,14,0.10219759099982184,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,0.9980019980019981,0.9841269841269842,143,0,2,12,157,14,8.92,0.2656027098534093,4.2807908545544526e-08,0.9999996340715123,0.07702097163194706
42,3,E_all_ce_noW,15,0.12063144800004011,2.0,0.75,0.9872611464968153,0.9285714285714286,0.9285714285714286,0.9607892107892109,0.999000999000999,0.9901360544217687,142,1,1,13,157,14,8.92,0.27644057098856695,2.6871556243365246e-08,0.9999991852333935,0.08941970254589968
42,3,G_all_focal_noW,15,0.11171940300027927,2.0,0.75,0.9745222929936306,0.8571428571428571,0.8571428571428571,0.9215784215784215,0.998001998001998,0.9815476190476189,141,2,2,12,157,14,8.92,0.27052863501160374,0.0016385214930538996,0.9929422859666852,0.0992290549651153
42,3,LEGACY_A,14,0.10287293400006092,2.0,0.75,0.9872611464968153,0.9285714285714286,0.9285714285714286,0.9607892107892109,0.9985014985014985,0.9873949579831932,142,1,1,13,157,14,8.92,0.27806866598396823,4.9155112819485995e-08,0.9999996054876354,0.08915480167097994
42,4,E_all_ce_noW,15,0.11410100200009765,2.0,0.75,0.9872611464968153,0.9285714285714286,0.9285714285714286,0.9607892107892109,0.9995004995004995,0.9952380952380953,142,1,1,13,157,14,8.92,0.2842513473731224,3.632947923756612e-08,0.999999237460505,0.09032630105294565
42,4,G_all_focal_noW,15,0.09472898400008489,2.0,0.75,0.9872611464968153,0.9285714285714286,0.9285714285714286,0.9607892107892109,0.9995004995004995,0.9952380952380953,142,1,1,13,157,14,8.92,0.2749976371378699,0.00316158838592276,0.992863597459,0.09759002158805537
42,4,LEGACY_A,14,0.11018234400034999,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999999,142,1,0,14,157,14,8.92,0.2881455867159209,3.002898809816661e-08,0.9999996741245464,0.09329143696822785
42,5,E_all_ce_noW,15,0.11206616200024655,2.0,0.75,0.9935897435897436,1.0,0.9230769230769231,0.9782578397212544,0.9892415277030662,0.9533799533799532,143,0,1,12,156,13,8.33,0.2507990416924627,4.453292088321696e-08,0.9999988544018982,0.07321470042333583
42,5,G_all_focal_noW,15,0.09744258000000627,2.0,0.75,0.9871794871794872,1.0,0.8461538461538461,0.9548611111111112,0.9768692845615923,0.9409340659340657,143,0,2,11,156,13,8.33,0.24033925751563168,0.0032764421596034204,0.9939131495197042,0.08256151183401172
42,5,LEGACY_A,14,0.11378656999977466,2.0,0.75,0.9871794871794872,1.0,0.8461538461538461,0.9548611111111112,0.9838622915545993,0.9463327370304113,143,0,2,11,156,13,8.33,0.25013089379631315,4.1179194286110514e-08,0.9999994864116692,0.07190099275581832
42,6,E_all_ce_noW,15,0.11747695300027772,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,143,0,0,14,157,14,8.92,0.2849102640205838,3.597148899262374e-08,0.9999991712318542,0.08953076359404372
42,6,G_all_focal_noW,15,0.09202458700019633,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,143,0,0,14,157,14,8.92,0.27874810742285255,0.003978713723119773,0.9940547221892941,0.10244090305462439
42,6,LEGACY_A,14,0.10470147799969709,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,143,0,0,14,157,14,8.92,0.2863754418519834,3.5113026652651194e-08,0.9999996515860127,0.09213255086185666
42,7,E_all_ce_noW,15,0.10758484799998769,2.0,0.75,0.9617834394904459,0.75,0.8571428571428571,0.8894366197183099,0.988011988011988,0.9327785966156084,139,4,2,12,157,14,8.92,0.2914451166568937,1.1176699099185173e-07,0.9999987979706519,0.09759817638942136
42,7,G_all_focal_noW,15,0.09275421699976505,2.0,0.75,0.9681528662420382,0.8,0.8571428571428571,0.9050211736237144,0.986013986013986,0.9188692055071364,140,3,2,12,157,14,8.92,0.26764166950958773,0.0043489291393225766,0.9929108241090776,0.09944078624695185
42,7,LEGACY_A,14,0.10346283399985623,2.0,0.75,0.9745222929936306,0.8571428571428571,0.8571428571428571,0.9215784215784215,0.9815184815184816,0.9231601731601731,141,2,2,12,157,14,8.92,0.2804695757862354,5.437924759156842e-08,0.9999995515646621,0.08922855248578185
42,8,E_all_ce_noW,15,0.11987902900000336,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,1.0,0.9999999999999998,143,0,2,12,157,14,8.92,0.2656596613483012,3.4423247427174735e-08,0.9999989337478992,0.0776085330437077
