seed,fold,arm,n_features,fit_seconds,gamma,alpha,accuracy,precision,recall,macro_f1,auc_roc,auc_pr,tn,fp,fn,tp,n,n_positive,base_rate_pct,pred_std,pred_min,pred_max,pred_mean
42,1,A_raw_ce_noW,44,0.25246815800005606,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,143,0,0,14,157,14,8.92,0.28277896157892524,6.248143999432815e-08,0.999999119647056,0.09011823822527046
42,1,B_raw_ce_W,44,0.25361360500005503,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999998,142,1,0,14,157,14,8.92,0.2899984892229265,1.3870705948018708e-07,0.9999997184229847,0.096159405797325
42,1,C_raw_focal_noW,44,0.20950993999986167,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999999,142,1,0,14,157,14,8.92,0.27836610725846267,0.002519133850902314,0.9935387400645241,0.10503570409462777
42,1,D_raw_focal_W,44,0.13623259099995266,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999999,142,1,0,14,157,14,8.92,0.27836610725846267,0.002519133850902314,0.9935387400645241,0.10503570409462777
42,1,E_all_ce_noW,47,0.2076283929998226,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,143,0,0,14,157,14,8.92,0.2840283071915198,7.773191776720131e-08,0.9999989271978713,0.09013457201476689
42,1,F_all_ce_W,47,0.198893155000178,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,143,0,0,14,157,14,8.92,0.2846622960221977,1.780592744523668e-07,0.9999996954602376,0.09100968101607444
42,1,G_all_focal_noW,47,0.16807487799997034,2.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,143,0,0,14,157,14,8.92,0.276346920808293,0.003139030300479555,0.9956387427973291,0.10344015761282838
42,1,H_all_focal_W,47,0.14327453100008825,2.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,143,0,0,14,157,14,8.92,0.276346920808293,0.003139030300479555,0.9956387427973291,0.10344015761282838
42,1,LEGACY_A,44,0.1617657709998639,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999998,142,1,0,14,157,14,8.92,0.2898169846443595,4.491722663284232e-08,0.9999995535390466,0.0963317844353818
42,2,A_raw_ce_noW,44,0.22651547300006314,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,1.0,1.0,143,0,2,12,157,14,8.92,0.2630484374032591,7.014567996402318e-08,0.9999992512089535,0.07658652451880128
42,2,B_raw_ce_W,44,0.20906366999997772,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,1.0,1.0,143,0,2,12,157,14,8.92,0.26553521050049506,1.5286870019325505e-07,0.9999997690462441,0.07696374097902818
42,2,C_raw_focal_noW,44,0.13718819900009294,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,1.0,0.9999999999999998,143,0,2,12,157,14,8.92,0.2557535676510519,0.004822021448482579,0.9932701238677255,0.08950723652255423
42,2,D_raw_focal_W,44,0.14372990099991512,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,1.0,0.9999999999999998,143,0,2,12,157,14,8.92,0.2557535676510519,0.004822021448482579,0.9932701238677255,0.08950723652255423
42,2,E_all_ce_noW,47,0.19718424200004847,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,0.9999999999999999,0.9999999999999998,143,0,2,12,157,14,8.92,0.26441545759412155,6.504868493883457e-08,0.9999991884929711,0.0767025346711034
42,2,F_all_ce_W,47,0.20459231800009547,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,0.9995004995004995,0.995238095238095,143,0,2,12,157,14,8.92,0.2661781758584841,1.5692848509428784e-07,0.9999997984526701,0.08070578084087021
42,2,G_all_focal_noW,47,0.14159488400014197,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,1.0,1.0,143,0,2,12,157,14,8.92,0.25710404478993926,0.0035844818118798733,0.9937422844893323,0.08945063056873809
42,2,H_all_focal_W,47,0.2609306900001229,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,1.0,1.0,143,0,2,12,157,14,8.92,0.25710404478993926,0.0035844818118798733,0.9937422844893323,0.08945063056873809
42,2,LEGACY_A,44,0.22748090300001422,2.0,0.75,0.9872611464968153,1.0,0.8571428571428571,0.9580662393162394,1.0,1.0,143,0,2,12,157,14,8.92,0.2665309325678401,7.743580981320771e-08,0.9999995746308079,0.07892385659510984
42,3,A_raw_ce_noW,44,0.3502158349999718,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999999,142,1,0,14,157,14,8.92,0.2924904169154964,5.5084719835695695e-08,0.9999985526998064,0.09567130816471278
42,3,B_raw_ce_W,44,0.31315233800000897,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999999,142,1,0,14,157,14,8.92,0.2936684462198568,1.415142055296698e-07,0.9999996807395388,0.09709925270578688
42,3,C_raw_focal_noW,44,0.13642753500016624,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,0.9995004995004996,0.9952380952380953,142,1,0,14,157,14,8.92,0.27820375703509737,0.002903854133706574,0.9962989083040784,0.10514491281317634
42,3,D_raw_focal_W,44,0.16873594000003322,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,0.9995004995004996,0.9952380952380953,142,1,0,14,157,14,8.92,0.27820375703509737,0.002903854133706574,0.9962989083040784,0.10514491281317634
42,3,E_all_ce_noW,47,0.38182385400000385,2.0,0.75,0.9872611464968153,0.875,1.0,0.9631455399061033,0.9995004995004995,0.9952380952380953,141,2,0,14,157,14,8.92,0.3006857154591841,5.960499980283145e-08,0.9999985707387327,0.10147703784072964
42,3,F_all_ce_W,47,0.45152377600015825,2.0,0.75,0.9872611464968153,0.875,1.0,0.9631455399061033,0.999000999000999,0.9910714285714286,141,2,0,14,157,14,8.92,0.30173443827554547,1.5770194444158236e-07,0.9999996801587397,0.10234043887441599
42,3,G_all_focal_noW,47,0.15284608799993293,2.0,0.75,0.9872611464968153,0.875,1.0,0.9631455399061033,0.999000999000999,0.9910714285714286,141,2,0,14,157,14,8.92,0.28466878774592547,0.003425429461186279,0.9954769979761459,0.10778253309947362
42,3,H_all_focal_W,47,0.21201568099991164,2.0,0.75,0.9872611464968153,0.875,1.0,0.9631455399061033,0.999000999000999,0.9910714285714286,141,2,0,14,157,14,8.92,0.28466878774592547,0.003425429461186279,0.9954769979761459,0.10778253309947362
42,3,LEGACY_A,44,0.6942915509998784,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,1.0,0.9999999999999999,142,1,0,14,157,14,8.92,0.28954295536398494,3.334395359334169e-08,0.9999996450466991,0.09530411667761131
42,4,A_raw_ce_noW,44,0.4194374200001221,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,143,0,0,14,157,14,8.92,0.28488583167701287,6.005254224452738e-08,0.9999991436487342,0.08919992954918032
42,4,B_raw_ce_W,44,0.7995654429998922,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,143,0,0,14,157,14,8.92,0.2849592571600081,1.5108482278420025e-07,0.9999997972612928,0.0892171272732461
42,4,C_raw_focal_noW,44,0.7733915159999469,2.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,143,0,0,14,157,14,8.92,0.2756597895505758,0.004425661962250243,0.9940076725797657,0.09747990482471204
42,4,D_raw_focal_W,44,0.6283734700000423,2.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,143,0,0,14,157,14,8.92,0.2756597895505758,0.004425661962250243,0.9940076725797657,0.09747990482471204
42,4,E_all_ce_noW,47,0.7319727690000946,2.0,0.75,0.9936305732484076,1.0,0.9285714285714286,0.9797393212027359,1.0,1.0,143,0,1,13,157,14,8.92,0.27641348737336197,5.7785116246142826e-08,0.9999996573186747,0.08600519852958406
42,4,F_all_ce_W,47,0.6637093609999738,2.0,0.75,0.9936305732484076,0.9333333333333333,1.0,0.981004234724743,0.9995004995004995,0.9952380952380953,142,1,0,14,157,14,8.92,0.28494249097859714,1.9779958833870875e-07,0.999999775364831,0.09216221476189906
42,4,G_all_focal_noW,47,0.4071118970000498,2.0,0.75,0.9936305732484076,1.0,0.9285714285714286,0.9797393212027359,0.9995004995004995,0.9952380952380953,143,0,1,13,157,14,8.92,0.2704429300611255,0.003918250537093331,0.9956904318834611,0.09651730965286912
42,4,H_all_focal_W,47,0.7088226270000177,2.0,0.75,0.9936305732484076,1.0,0.9285714285714286,0.9797393212027359,0.9995004995004995,0.9952380952380953,143,0,1,13,157,14,8.92,0.2704429300611255,0.003918250537093331,0.9956904318834611,0.09651730965286912
42,4,LEGACY_A,44,0.6998087560000386,2.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,143,0,0,14,157,14,8.92,0.2848710048510599,4.810940857666468e-08,0.9999996011670994,0.08953679074055658
42,5,A_raw_ce_noW,44,0.34052183199992214,2.0,0.75,0.9807692307692307,1.0,0.7692307692307693,0.929592297276967,0.9908552985476062,0.9564102564102563,143,0,3,10,156,13,8.33,0.24349554735773038,7.878751216243446e-08,0.9999989192397482,0.06430980817152952
42,5,B_raw_ce_W,44,0.3854294130001108,2.0,0.75,0.9807692307692307,1.0,0.7692307692307693,0.929592297276967,0.9935449166218396,0.9630769230769229,143,0,3,10,156,13,8.33,0.24479046313873942,1.47899413128291e-07,0.9999997852944303,0.06573908508366323
42,5,C_raw_focal_noW,44,0.3184236699999019,2.0,0.75,0.9807692307692307,1.0,0.7692307692307693,0.929592297276967,0.9935449166218397,0.9542277677729183,143,0,3,10,156,13,8.33,0.22844028524784948,0.0036978900992628155,0.9930878708757244,0.07396079571325405
42,5,D_raw_focal_W,44,0.28266368300000977,2.0,0.75,0.9807692307692307,1.0,0.7692307692307693,0.929592297276967,0.9935449166218397,0.9542277677729183,143,0,3,10,156,13,8.33,0.22844028524784948,0.0036978900992628155,0.9930878708757244,0.07396079571325405
42,5,E_all_ce_noW,47,0.33116565799991804,2.0,0.75,0.9807692307692307,1.0,0.7692307692307693,0.929592297276967,0.9983862291554599,0.9838264299802761,143,0,3,10,156,13,8.33,0.24228698599362566,6.768084515621094e-08,0.9999982490651056,0.06520804705182294
42,5,F_all_ce_W,47,0.49545681900008276,2.0,0.75,0.9871794871794872,1.0,0.8461538461538461,0.9548611111111112,0.9983862291554599,0.9838264299802759,143,0,2,11,156,13,8.33,0.24919251566160086,1.4831340029671814e-07,0.9999997340115901,0.06930442283636257
42,5,G_all_focal_noW,47,0.5722659479999948,2.0,0.75,0.9807692307692307,1.0,0.7692307692307693,0.929592297276967,0.9989241527703066,0.9897435897435898,143,0,3,10,156,13,8.33,0.22671327771730648,0.005254966267708679,0.9913251525981164,0.07465317217074753
42,5,H_all_focal_W,47,0.3524627290000808,2.0,0.75,0.9807692307692307,1.0,0.7692307692307693,0.929592297276967,0.9989241527703066,0.9897435897435898,143,0,3,10,156,13,8.33,0.22671327771730648,0.005254966267708679,0.9913251525981164,0.07465317217074753
42,5,LEGACY_A,44,0.3102151699999922,2.0,0.75,0.9807692307692307,1.0,0.7692307692307693,0.929592297276967,0.9940828402366865,0.9647435897435896,143,0,3,10,156,13,8.33,0.24455253162574114,7.173268844865847e-08,0.9999995441182561,0.0651438247978189
