Feature,Mean_Abs_SHAP
cat__social_studies_exam_score_65,6.422324271868028e-05
cat__social_studies_exam_score_36,6.160206986288735e-05
cat__social_studies_exam_score_94,5.909557173488144e-05
cat__no_of_siblings_in_school_1.7,5.856335430088231e-05
cat__no_of_siblings_in_school_2.9,5.4115998853588585e-05
cat__social_studies_exam_score_43,5.2398825257682593e-05
cat__grade_repetition_count_0.9,4.383383635392317e-05
cat__social_studies_exam_score_44.9,4.3739881275137476e-05
cat__social_studies_exam_score_57.7,4.332530728005619e-05
cat__social_studies_exam_score_74,4.2563672357419786e-05
cat__social_studies_exam_score_64,4.223980761422057e-05
cat__no_of_siblings_in_school_0.7,4.0727528777427245e-05
cat__no_of_siblings_in_school_5,4.046048981935554e-05
cat__grade_repetition_count_1.3,3.8902660820536605e-05
cat__social_studies_exam_score_71,3.726036074696544e-05
cat__no_of_siblings_in_school_Not collected,3.654952776113125e-05
cat__social_studies_exam_score_51,3.4667437153294146e-05
cat__social_studies_exam_score_59,3.0510435565905755e-05
"cat__missed_school_due_to_illness_Yes, more than once",2.984725032743138e-05
cat__grade_repetition_count_0.2,2.854629027718333e-05
cat__social_studies_exam_score_72,2.8266495521477136e-05
cat__social_studies_exam_score_67,2.78684604334859e-05
cat__no_of_siblings_in_school_4.3,2.753379656102229e-05
cat__social_studies_exam_score_42.2,2.5955168568804783e-05
cat__social_studies_exam_score_61,2.5954668114379805e-05
cat__no_of_siblings_in_school_21,2.4466087553066738e-05
cat__grade_repetition_count_0.7,1.9835907167596277e-05
cat__no_of_siblings_in_school_2.8,1.9099088696032633e-05
cat__social_studies_exam_score_59.2,1.878880954773363e-05
cat__social_studies_exam_score_40,1.8110978973461603e-05
cat__social_studies_exam_score_44,1.7279198882613417e-05
cat__social_studies_exam_score_53.5,1.548851293575699e-05
cat__grade_repetition_count_0.6,1.4231315563643114e-05
cat__social_studies_exam_score_34,1.395355423262817e-05
cat__social_studies_exam_score_58.5,1.3742948645325644e-05
cat__barriers_to_regular_attendance_Health problems,1.3378489174490141e-05
cat__no_of_siblings_in_school_8,1.1030002025715942e-05
cat__social_studies_exam_score_74.2,1.0923640376980039e-05
cat__no_of_siblings_in_school_3.3,1.0883669649100073e-05
cat__grade_repetition_count_0.5,1.075075888789777e-05
cat__grade_repetition_count_0.3,1.0628844151006385e-05
cat__social_studies_exam_score_69.1,1.0359157762335883e-05
cat__grade_repetition_count_0.4,9.801868344690296e-06
cat__no_of_siblings_in_school_4.1,9.114665584505263e-06
cat__no_of_siblings_in_school_2.2,8.441350723061297e-06
cat__social_studies_exam_score_85,8.427734799996673e-06
cat__social_studies_exam_score_62.9,8.242242891491657e-06
cat__no_of_siblings_in_school_3.9,7.069240904013929e-06
cat__social_studies_exam_score_53,6.5979635057957886e-06
cat__travel_time_to_school_Don't know,5.807050749917702e-06
cat__social_studies_exam_score_96,3.5630893884875673e-06
cat__social_studies_exam_score_97,3.556963130147117e-06
cat__social_studies_exam_score_61.2,3.4802190750270547e-06
cat__social_studies_exam_score_57.4,2.6397257208739788e-06
cat__grade_repetition_count_1.2,2.430254199446885e-06
cat__social_studies_exam_score_75,7.311649469978902e-07
cat__social_studies_exam_score_77,5.886195392019469e-07
cat__social_studies_exam_score_72.3,0.0
cat__social_studies_exam_score_72.1,0.0
cat__social_studies_exam_score_70.9,0.0
cat__social_studies_exam_score_71.4,0.0
cat__social_studies_exam_score_75.2,0.0
cat__social_studies_exam_score_75.4,0.0
cat__social_studies_exam_score_73.9,0.0
cat__social_studies_exam_score_73.8,0.0
cat__social_studies_exam_score_71.8,0.0
cat__social_studies_exam_score_71.7,0.0
cat__social_studies_exam_score_73.6,0.0
cat__social_studies_exam_score_73.4,0.0
cat__social_studies_exam_score_73,0.0
cat__social_studies_exam_score_72.8,0.0
cat__social_studies_exam_score_64.1,0.0
cat__social_studies_exam_score_64.5,0.0
cat__social_studies_exam_score_63.9,0.0
cat__social_studies_exam_score_63.2,0.0
cat__social_studies_exam_score_62.3,0.0
cat__social_studies_exam_score_62.8,0.0
cat__social_studies_exam_score_60.7,0.0
cat__social_studies_exam_score_60.4,0.0
cat__social_studies_exam_score_60.9,0.0
cat__social_studies_exam_score_60.8,0.0
cat__data_source_Both,0.0
cat__family_income_level_Don't know,0.0
cat__social_studies_exam_score_66.2,0.0
cat__social_studies_exam_score_66.1,0.0
cat__social_studies_exam_score_66,0.0
cat__social_studies_exam_score_65.9,0.0
cat__social_studies_exam_score_67.7,0.0
cat__social_studies_exam_score_68.4,0.0
cat__social_studies_exam_score_66.7,0.0
cat__social_studies_exam_score_66.6,0.0
cat__social_studies_exam_score_68.7,0.0
cat__social_studies_exam_score_69,0.0
cat__social_studies_exam_score_69.4,0.0
cat__social_studies_exam_score_69.5,0.0
cat__social_studies_exam_score_69.6,0.0
cat__social_studies_exam_score_69.8,0.0
cat__social_studies_exam_score_68.6,0.0
cat__social_studies_exam_score_67.6,0.0
cat__social_studies_exam_score_70.4,0.0
cat__social_studies_exam_score_70,0.0
cat__social_studies_exam_score_70.7,0.0
cat__social_studies_exam_score_70.6,0.0
cat__social_studies_exam_score_71.2,0.0
cat__social_studies_exam_score_71.3,0.0
cat__social_studies_exam_score_64.8,0.0
cat__social_studies_exam_score_65.1,0.0
cat__social_studies_exam_score_65.3,0.0
cat__social_studies_exam_score_65.4,0.0
cat__social_studies_exam_score_65.5,0.0
cat__social_studies_exam_score_65.7,0.0
cat__social_studies_exam_score_62,0.0
cat__social_studies_exam_score_61.5,0.0
cat__family_income_level_Hgh,0.0
cat__parent_attends_school_events_Alwaya,0.0
cat__social_studies_exam_score_93,0.0
cat__social_studies_exam_score_92,0.0
cat__social_studies_exam_score_91,0.0
cat__social_studies_exam_score_90,0.0
cat__social_studies_exam_score_89.7,0.0
cat__social_studies_exam_score_89,0.0
cat__social_studies_exam_score_88.3,0.0
cat__social_studies_exam_score_88,0.0
cat__social_studies_exam_score_87.9,0.0
cat__social_studies_exam_score_87.7,0.0
cat__social_studies_exam_score_87.2,0.0
cat__social_studies_exam_score_86.5,0.0
cat__social_studies_exam_score_86.4,0.0
cat__social_studies_exam_score_86.2,0.0
cat__social_studies_exam_score_86.1,0.0
cat__social_studies_exam_score_86,0.0
cat__social_studies_exam_score_85.7,0.0
cat__social_studies_exam_score_59.5,0.0
cat__social_studies_exam_score_58.8,0.0
cat__social_studies_exam_score_58.9,0.0
cat__social_studies_exam_score_56.2,0.0
cat__social_studies_exam_score_55.4,0.0
cat__social_studies_exam_score_58.2,0.0
cat__social_studies_exam_score_58.4,0.0
cat__social_studies_exam_score_84,0.0
cat__social_studies_exam_score_83.8,0.0
cat__social_studies_exam_score_81.6,0.0
cat__social_studies_exam_score_81.7,0.0
cat__social_studies_exam_score_81.9,0.0
cat__social_studies_exam_score_82,0.0
cat__social_studies_exam_score_82.2,0.0
cat__social_studies_exam_score_83,0.0
cat__social_studies_exam_score_77.3,0.0
cat__social_studies_exam_score_77.1,0.0
cat__social_studies_exam_score_76.3,0.0
cat__social_studies_exam_score_76,0.0
cat__social_studies_exam_score_75.5,0.0
cat__social_studies_exam_score_75.8,0.0
cat__social_studies_exam_score_81,0.0
cat__social_studies_exam_score_80,0.0
cat__social_studies_exam_score_79.5,0.0
cat__social_studies_exam_score_79,0.0
cat__social_studies_exam_score_78.7,0.0
cat__social_studies_exam_score_78.4,0.0
cat__social_studies_exam_score_78,0.0
cat__social_studies_exam_score_77.8,0.0
cat__social_studies_exam_score_77.6,0.0
cat__social_studies_exam_score_77.4,0.0
cat__social_studies_exam_score_73.7,0.0
cat__social_studies_exam_score_74.3,0.0
cat__no_of_siblings_in_school_1.6,0.0
cat__no_of_siblings_in_school_1.1,0.0
cat__no_of_siblings_in_school_0.6,0.0
cat__no_of_siblings_in_school_1.4,0.0
cat__no_of_siblings_in_school_1.2,0.0
cat__social_studies_exam_score_54.7,0.0
cat__social_studies_exam_score_52.5,0.0
cat__social_studies_exam_score_52.4,0.0
cat__social_studies_exam_score_52.6,0.0
cat__social_studies_exam_score_50.4,0.0
cat__mode_of_transport_to_school_Bicycle/motorbike,0.0
cat__social_studies_exam_score_49.6,0.0
cat__travel_time_to_school_Less than 15 minutes,0.0
cat__social_studies_exam_score_95,0.0
cat__no_of_siblings_in_school_3.2,0.0
cat__no_of_siblings_in_school_3.1,0.0
cat__no_of_siblings_in_school_23,0.0
cat__no_of_siblings_in_school_22,0.0
cat__no_of_siblings_in_school_2.7,0.0
cat__no_of_siblings_in_school_2.4,0.0
cat__no_of_siblings_in_school_2.5,0.0
cat__no_of_siblings_in_school_2.6,0.0
cat__no_of_siblings_in_school_16,0.0
cat__no_of_siblings_in_school_17,0.0
cat__no_of_siblings_in_school_15,0.0
cat__no_of_siblings_in_school_2.1,0.0
cat__social_studies_exam_score_48.4,0.0
cat__social_studies_exam_score_48.8,0.0
cat__social_studies_exam_score_49,0.0
cat__no_of_siblings_in_school_12,0.0
cat__social_studies_exam_score_41,0.0
cat__social_studies_exam_score_42,0.0
cat__no_of_siblings_in_school_11,0.0
cat__no_of_siblings_in_school_10,0.0
cat__social_studies_exam_score_45,0.0
cat__social_studies_exam_score_47.2,0.0
cat__social_studies_exam_score_54.2,0.0
cat__social_studies_exam_score_54.3,0.0
cat__no_of_siblings_in_school_0.4,0.0
cat__parent_guardian_education_level_No formal education,0.0
cat__no_of_siblings_in_school_0.8,0.0
cat__no_of_siblings_in_school_31,0.0
cat__no_of_siblings_in_school_3.6,0.0
cat__no_of_siblings_in_school_3.7,0.0
cat__no_of_siblings_in_school_3.5,0.0
cat__no_of_siblings_in_school_3.4,0.0
cat__grade_repetition_count_4+,0.0
cat__grade_repetition_count_2.3,0.0
cat__no_of_siblings_in_school_9,0.0
cat__no_of_siblings_in_school_5.1,0.0
cat__no_of_siblings_in_school_5.3,0.0
cat__no_of_siblings_in_school_5.9,0.0
cat__no_of_siblings_in_school_55,0.0
cat__no_of_siblings_in_school_7,0.0
cat__no_of_siblings_in_school_5.2,0.0
cat__no_of_siblings_in_school_3.8,0.0
cat__no_of_siblings_in_school_4.2,0.0
cat__no_of_siblings_in_school_4.4,0.0
cat__no_of_siblings_in_school_4.5,0.0
cat__no_of_siblings_in_school_4.6,0.0
cat__no_of_siblings_in_school_4.9,0.0
cat__no_of_siblings_in_school_43,0.0
cat__missed_school_for_choreswork_yYes,0.0
cat__class_level_P5,0.0
"cat__own_textbooks_Yes, for some",0.0
cat__missed_school_for_choreswork_no,0.0
"cat__own_textbooks_Yes , for some",0.0
cat__social_studies_exam_score_25,0.0
cat__social_studies_exam_score_22,0.0
"cat__own_textbooks_Yes , for all subjects",0.0
cat__social_studies_exam_score_33,0.0
cat__missed_school_for_choreswork_yes,0.0
"cat__missed_school_due_to_illness_ Yes, more than once",0.0
cat__missed_school_due_to_illness_No ,0.0
cat__missed_school_due_to_illness_y,0.0
cat__barriers_to_regular_attendance_Other,0.0
cat__extracurricular_activities_3 activities,0.0
cat__extracurricular_activities_4 or more,0.0
