Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Random Forest,0.995,1.0,0.9444444444444444,0.9714285714285714,0.9978632478632479,0.9844444444444446
LightGBM,0.995,1.0,0.9444444444444444,0.9714285714285714,0.9954212454212453,0.9747474747474749
CatBoost,0.99,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9993894993894994,0.9944444444444447
