removed_seed,remaining_mean_diff,sign,flipped
42,-0.0033056971897429694,-,False
123,-0.003401331485234747,-,False
456,-0.0033698541699484935,-,False
789,-0.003231848571048598,-,False
1024,-0.0032947526244721196,-,False
2048,-0.0034086553881178517,-,False
3333,-0.0033222766627868505,-,False
5555,-0.003276333660882941,-,False
7777,-0.0033527193428309968,-,False
9999,-0.0032181712917561424,-,False
