geographic_zone,school_type,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,grade_repetition_count_missing,attendance_risk_index,dropout_label
0,0,0,13.0,3,0.0,90.0,91.0,69.0,79.0,68.0,70.0,71.5,0,0.09399999999999997,0
1,1,1,7.0,0,0.0,75.4,71.0,62.2,67.1,66.2,53.4,62.225,0,0.27240000000000003,0
1,1,1,7.0,1,0.0,95.0,98.0,61.0,57.0,80.0,89.0,71.75,0,0.03200000000000003,0
0,0,1,13.3,4,0.0,86.4,89.6,62.2,58.5,59.6,64.5,61.2,1,0.11680000000000001,0
1,1,0,13.0,4,0.0,98.0,92.0,84.0,84.0,54.0,54.0,69.0,0,0.05599999999999998,0
0,0,1,13.0,4,0.0,78.0,81.0,75.0,68.0,76.0,73.0,73.0,0,0.20199999999999996,0
1,1,0,10.0,1,0.0,79.0,87.0,71.0,71.0,64.0,61.0,66.75,0,0.16199999999999998,0
1,1,0,12.0,2,0.0,90.0,99.0,52.0,50.0,92.0,90.0,71.0,0,0.046,0
1,1,0,13.0,3,1.0,84.0,90.0,79.0,76.0,82.0,84.0,80.25,0,0.124,0
1,1,0,12.0,2,0.0,93.0,91.0,92.0,73.0,94.0,69.0,82.0,0,0.08199999999999996,0
1,1,1,13.0,4,0.0,89.0,87.0,87.0,47.0,64.0,89.0,71.75,0,0.122,0
0,1,0,12.0,2,0.0,87.0,86.0,73.0,75.0,76.0,79.0,75.75,0,0.136,0
0,0,0,13.0,4,0.0,73.0,82.0,61.0,56.0,58.0,59.0,58.5,0,0.21600000000000003,0
1,1,1,10.0,1,2.0,20.0,37.0,25.0,17.0,32.0,30.0,26.0,0,0.6980000000000001,1
1,1,1,6.0,0,2.0,20.0,37.0,36.0,22.0,57.0,77.0,48.0,0,0.6980000000000001,1
0,0,1,12.0,3,0.0,82.0,86.0,73.0,68.0,69.0,72.0,70.5,0,0.15600000000000003,0
1,1,0,10.1,1,0.0,81.4,82.1,69.3,66.0,76.7,85.0,74.25,1,0.18180000000000002,0
0,1,0,13.7,4,0.0,82.7,84.3,62.6,74.2,71.9,68.7,69.35000000000001,0,0.1634,0
0,1,1,12.0,3,2.0,69.0,69.0,55.0,56.0,55.0,50.0,54.0,0,0.31000000000000005,0
1,1,0,12.0,3,0.0,93.0,90.0,63.0,90.0,58.0,50.0,65.25,0,0.08799999999999997,0
1,1,1,12.0,1,1.0,77.0,88.0,75.0,84.0,44.0,62.0,66.25,0,0.16399999999999998,0
1,1,1,7.0,1,2.0,20.0,37.0,30.0,33.0,40.0,46.0,37.25,0,0.6980000000000001,1
1,1,1,13.0,4,0.0,94.0,87.0,67.0,40.0,72.0,88.0,66.75,0,0.10200000000000002,0
0,1,1,10.0,0,0.0,87.0,90.0,84.0,75.0,85.0,76.0,80.0,0,0.11199999999999999,0
0,1,0,12.6,4,0.0,93.0,80.6,67.3,69.5,60.0,69.8,66.65,0,0.14440000000000003,0
1,1,1,7.0,1,0.0,77.8,80.5,70.7,56.7,76.3,65.1,67.19999999999999,1,0.20579999999999996,0
1,1,1,13.0,4,1.0,91.0,98.0,69.0,90.0,52.0,89.0,75.0,0,0.048,0
1,1,0,6.0,0,2.0,20.0,37.0,23.0,19.0,49.0,56.0,36.75,0,0.6980000000000001,1
0,0,0,14.0,4,0.0,77.0,75.0,52.0,63.0,63.0,55.0,58.25,0,0.242,0
1,1,1,13.0,4,0.0,77.1,69.3,65.1,64.2,65.3,54.3,62.22500000000001,1,0.27580000000000005,0
1,1,1,10.0,1,0.0,85.0,87.0,68.0,57.0,57.0,63.0,61.25,0,0.138,0
1,1,0,8.0,1,0.0,77.8,80.5,70.7,56.7,76.3,65.1,67.19999999999999,1,0.20579999999999996,0
1,1,1,13.0,4,1.0,86.0,93.0,89.0,66.0,64.0,90.0,77.25,0,0.09799999999999998,0
0,1,0,13.0,3,0.0,82.0,78.0,75.0,72.0,71.0,75.0,73.25,0,0.20400000000000001,0
1,1,0,10.0,0,1.0,81.0,74.0,70.0,59.0,65.0,80.0,68.5,0,0.23199999999999998,0
0,1,1,11.3,3,0.0,84.3,77.5,65.7,61.5,71.8,49.6,62.15,0,0.19779999999999998,0
0,1,1,13.0,3,0.0,88.0,88.0,64.0,71.0,67.0,72.0,68.5,0,0.12,0
0,1,0,11.8,2,0.0,88.2,92.3,68.2,74.5,72.0,74.3,72.25,1,0.09340000000000004,0
1,1,0,10.0,0,0.0,84.0,82.0,78.0,74.0,67.0,77.0,74.0,0,0.17200000000000004,0
1,1,1,13.0,4,0.0,86.0,96.0,56.0,91.0,93.0,86.0,81.5,0,0.08000000000000003,0
0,0,0,11.9,3,0.0,74.4,75.2,56.3,55.9,54.0,50.0,54.05,1,0.2512,1
1,1,1,9.0,1,0.0,85.0,87.0,68.0,57.0,57.0,63.0,61.25,0,0.138,0
0,1,1,13.0,3,0.0,78.0,76.0,74.0,63.0,63.0,71.0,67.75,0,0.23199999999999998,0
0,1,0,12.0,3,0.0,69.0,67.0,60.0,54.0,53.0,65.0,58.0,0,0.322,0
0,1,1,9.8,4,0.0,81.2,88.7,67.4,71.7,76.8,66.7,70.65,0,0.14299999999999996,0
0,1,0,11.0,1,0.0,87.0,82.0,68.0,79.0,77.0,70.0,73.5,0,0.16000000000000003,0
1,1,1,7.0,0,3.0,94.0,98.0,75.0,72.0,57.0,87.0,72.75,0,0.03600000000000003,1
1,1,1,13.0,4,0.0,92.0,87.0,58.0,63.0,76.0,47.0,61.0,0,0.10999999999999999,0
1,1,0,12.0,3,1.0,71.0,79.0,66.0,72.0,61.0,64.0,65.75,0,0.242,0
1,1,1,11.1,1,0.0,62.8,66.5,44.6,49.2,44.4,51.6,47.45,1,0.3498,1
0,0,1,13.0,4,0.0,86.0,83.0,54.0,65.0,61.0,63.0,60.75,0,0.15800000000000003,0
1,1,0,12.0,2,0.0,94.0,90.0,67.0,43.0,88.0,71.0,67.25,0,0.084,0
0,1,1,11.3,0,0.0,79.7,75.0,62.2,56.6,63.5,58.0,60.075,0,0.2312,0
0,1,1,11.0,3,0.0,79.0,83.0,67.0,72.0,83.0,64.0,71.5,0,0.186,0
1,1,1,11.6,2,0.0,72.8,99.5,63.5,58.8,53.0,77.3,63.150000000000006,1,0.11180000000000001,0
1,1,1,13.0,4,0.0,86.0,98.0,52.0,41.0,52.0,86.0,57.75,0,0.06800000000000002,0
1,1,1,13.0,4,0.0,96.0,92.0,80.0,78.0,77.0,92.0,81.75,0,0.06399999999999999,0
1,1,1,13.0,4,0.0,94.0,92.0,46.0,71.0,78.0,59.0,63.5,0,0.072,0
0,1,0,14.1,4,0.0,77.7,84.6,59.8,54.8,60.3,60.8,58.925,0,0.1816,0
0,1,1,14.0,4,0.0,76.0,75.0,55.0,58.0,59.0,52.0,56.0,0,0.246,0
1,1,1,13.0,4,0.0,89.0,89.0,56.0,60.0,73.0,89.0,69.5,0,0.10999999999999999,0
1,1,1,9.0,1,1.0,88.0,92.0,88.0,71.0,73.0,43.0,68.75,0,0.09599999999999997,0
1,1,0,9.0,1,0.0,78.6,77.3,70.1,69.7,77.5,72.1,72.35,1,0.22180000000000002,0
