geographic_zone,school_type,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,grade_repetition_count_missing,attendance_risk_index,dropout_label
0,1,0,12.0,4,0.0,85.0,81.0,80.0,78.0,77.0,83.0,79.5,0,0.174,0
0,1,1,11.0,3,1.0,87.0,91.0,79.0,73.0,77.0,88.0,79.25,0,0.10599999999999998,0
1,1,0,13.0,4,0.0,88.0,98.0,56.0,71.0,78.0,88.0,73.25,0,0.06000000000000001,0
0,0,0,13.0,4,1.0,77.0,77.0,63.0,58.0,61.0,51.0,58.25,0,0.22999999999999998,0
0,1,1,12.6,3,0.0,86.0,83.9,80.0,67.5,66.1,85.7,74.825,0,0.15259999999999996,0
1,1,0,10.0,0,0.0,83.0,81.0,64.0,68.0,63.0,62.0,64.25,0,0.182,0
1,1,1,13.0,4,0.0,92.0,95.0,67.0,84.0,91.0,58.0,75.0,0,0.06200000000000001,0
1,1,1,13.0,4,0.0,88.0,97.0,49.0,57.0,94.0,61.0,65.25,0,0.06600000000000002,0
0,1,0,12.0,4,0.0,72.4,83.4,67.2,77.4,73.9,60.8,69.825,1,0.2099999999999999,0
1,1,1,14.0,3,1.0,64.0,72.0,53.0,41.0,55.0,46.0,48.75,0,0.312,1
0,1,0,13.0,3,0.0,83.0,88.0,82.0,83.0,83.0,80.0,82.0,0,0.14,0
1,1,1,9.0,1,0.0,75.0,79.0,66.0,66.0,71.0,65.0,67.0,0,0.22599999999999998,0
1,1,1,8.0,1,0.0,90.0,71.0,70.0,69.0,64.0,76.0,69.75,0,0.21400000000000002,0
0,1,1,13.0,4,0.0,75.0,70.0,61.0,56.0,54.0,53.0,56.0,0,0.28,0
1,1,0,13.0,4,0.0,97.0,97.0,81.0,42.0,85.0,97.0,76.25,0,0.030000000000000027,0
1,1,0,11.0,0,0.0,86.0,89.0,66.0,76.0,66.0,67.0,68.75,0,0.122,0
0,0,1,13.3,4,0.0,83.6,81.9,54.8,62.8,60.5,64.8,60.725,1,0.17419999999999997,0
1,1,1,13.0,4,0.0,95.0,93.0,51.0,62.0,84.0,63.0,65.0,0,0.061999999999999986,0
1,1,0,13.0,4,0.0,86.0,99.0,71.0,70.0,74.0,60.0,68.75,0,0.06200000000000001,0
0,1,0,13.0,3,0.0,79.0,79.0,68.0,75.0,67.0,77.0,71.75,0,0.20999999999999996,0
1,1,1,8.0,1,0.0,97.0,92.0,85.0,85.0,76.0,97.0,85.75,0,0.059999999999999984,0
1,1,1,13.0,4,0.0,88.0,95.0,55.0,48.0,60.0,94.0,64.25,0,0.07800000000000003,0
0,1,1,11.8,3,0.0,67.2,81.0,64.2,71.4,77.4,76.3,72.325,1,0.24519999999999995,0
1,1,1,10.0,1,1.0,88.0,92.0,88.0,71.0,73.0,43.0,68.75,0,0.09599999999999997,0
1,1,1,13.0,4,0.0,93.0,91.0,92.0,55.0,93.0,55.0,73.75,0,0.08199999999999996,0
0,1,0,12.8,3,0.0,82.0,81.1,71.7,66.4,74.9,77.4,72.60000000000001,0,0.18540000000000006,0
1,1,1,13.0,4,0.0,92.0,87.0,85.0,59.0,72.0,71.0,71.75,0,0.10999999999999999,0
0,1,1,10.0,0,0.0,81.0,74.0,65.0,66.0,65.0,59.0,63.75,0,0.23199999999999998,0
0,0,0,14.0,4,0.0,73.0,77.0,68.0,69.0,61.0,62.0,65.0,0,0.246,0
1,1,1,13.0,4,0.0,88.0,87.0,92.0,69.0,50.0,49.0,65.0,0,0.126,0
0,1,0,12.0,3,0.0,94.0,96.0,85.0,78.0,75.0,82.0,80.0,0,0.04800000000000004,0
0,1,1,13.0,3,1.0,70.0,75.0,45.0,47.0,56.0,47.0,48.75,0,0.27,1
1,1,0,13.0,4,0.0,92.0,93.0,93.0,92.0,71.0,92.0,87.0,0,0.07399999999999995,0
1,1,0,7.0,0,2.0,20.0,37.0,26.0,36.0,48.0,53.0,40.75,0,0.6980000000000001,1
0,1,0,9.0,3,0.0,84.0,96.0,72.0,68.0,49.0,69.0,64.5,0,0.08800000000000004,0
1,1,0,5.0,0,2.0,20.0,37.0,25.0,15.0,33.0,33.0,26.5,0,0.6980000000000001,1
1,1,0,12.0,3,0.0,86.0,98.0,84.0,95.0,89.0,57.0,81.25,0,0.06800000000000002,0
1,1,0,8.0,1,0.0,95.0,98.0,61.0,57.0,80.0,89.0,71.75,0,0.03200000000000003,0
0,1,0,14.0,4,0.0,77.0,83.0,72.0,60.0,69.0,72.0,68.25,0,0.194,0
0,1,0,13.0,4,0.0,84.0,93.0,68.0,68.0,58.0,69.0,65.75,0,0.10599999999999998,0
0,1,1,13.0,4,0.0,85.0,85.0,73.0,71.0,79.0,72.0,73.75,0,0.15000000000000002,0
1,1,1,8.0,0,1.0,78.0,81.0,65.0,73.0,76.0,60.0,68.5,0,0.20199999999999996,0
0,1,0,12.8,4,0.0,83.7,80.4,62.7,72.8,65.2,73.7,68.6,1,0.18279999999999993,0
1,1,1,10.0,0,0.0,85.0,92.0,66.0,65.0,78.0,77.0,71.5,0,0.10799999999999998,0
0,1,0,12.0,3,1.0,95.0,91.0,61.0,66.0,71.0,70.0,67.0,0,0.074,0
1,1,1,12.0,3,0.0,96.0,99.0,52.0,43.0,82.0,70.0,61.75,0,0.02200000000000002,0
1,1,1,12.0,2,0.0,91.0,95.0,56.0,48.0,73.0,40.0,54.25,0,0.06600000000000002,0
0,1,0,11.1,3,0.0,76.8,74.4,85.1,76.1,57.7,78.4,74.32499999999999,0,0.24639999999999992,0
0,0,0,14.0,3,2.0,70.0,70.0,46.0,57.0,53.0,56.0,53.0,0,0.30000000000000004,1
1,1,1,12.0,3,0.0,87.0,99.0,47.0,71.0,66.0,51.0,58.75,0,0.05800000000000001,0
0,1,1,9.8,4,0.0,77.8,99.9,56.0,83.6,77.4,75.4,73.1,1,0.08939999999999992,0
0,1,1,11.3,4,0.0,90.6,91.1,91.6,62.0,78.0,70.4,75.5,1,0.09100000000000008,0
1,1,1,13.0,4,0.0,97.0,90.0,85.0,84.0,71.0,85.0,81.25,0,0.072,0
0,1,1,14.0,3,0.0,68.0,64.0,65.0,55.0,68.0,60.0,62.0,0,0.344,1
1,1,1,13.0,4,0.0,88.0,89.0,64.0,93.0,60.0,88.0,76.25,0,0.11399999999999999,0
1,1,0,12.0,3,0.0,98.0,95.0,66.0,89.0,93.0,57.0,76.25,0,0.038000000000000034,0
0,0,0,12.0,3,0.0,76.0,79.0,64.0,64.0,69.0,59.0,64.0,0,0.22199999999999998,0
0,1,0,13.0,4,0.0,70.0,71.0,72.0,59.0,75.0,53.0,64.75,0,0.29400000000000004,0
0,1,1,14.8,4,0.0,72.3,68.6,49.5,60.1,60.8,54.7,56.27499999999999,0,0.2992,0
0,1,0,12.0,3,0.0,82.0,81.0,58.0,69.0,64.0,68.0,64.75,0,0.186,0
0,1,0,14.0,4,0.0,81.0,90.0,86.0,86.0,84.0,86.0,85.5,0,0.13599999999999995,0
1,1,1,9.0,1,0.0,75.0,79.0,66.0,66.0,71.0,65.0,67.0,0,0.22599999999999998,0
1,1,1,9.0,1,3.0,20.0,37.0,27.0,28.0,22.0,46.0,30.75,0,0.6980000000000001,1
1,1,0,6.0,0,0.0,78.0,74.0,66.0,74.0,70.0,74.0,71.0,0,0.244,0
1,1,1,6.0,0,0.0,76.6,77.8,65.2,65.1,70.2,60.4,65.225,1,0.22680000000000003,0
0,0,1,12.0,3,0.0,77.8,80.5,70.7,56.7,76.3,65.1,67.19999999999999,1,0.20579999999999996,0
1,1,0,12.0,2,0.0,86.0,94.0,86.0,44.0,55.0,91.0,69.0,0,0.09200000000000004,0
1,1,1,14.0,3,0.0,86.0,93.0,80.0,87.0,83.0,89.0,84.75,0,0.09799999999999998,0
0,1,0,12.1,3,0.0,92.4,86.8,61.2,66.6,71.8,70.4,67.5,1,0.10959999999999999,0
1,1,1,13.0,4,0.0,88.0,90.0,94.0,80.0,66.0,41.0,70.25,0,0.10799999999999998,0
1,1,0,7.0,0,0.0,78.0,74.0,66.0,74.0,70.0,74.0,71.0,0,0.244,0
0,1,0,12.0,4,0.0,72.0,95.0,65.0,50.0,82.0,68.0,66.25,0,0.14200000000000004,0
0,1,0,11.6,3,0.0,76.1,83.2,72.5,76.1,62.6,67.7,69.725,1,0.19640000000000002,0
0,1,1,10.0,4,0.0,78.0,79.0,55.0,53.0,61.0,67.0,59.0,0,0.21399999999999997,0
1,1,0,12.0,2,0.0,96.0,96.0,49.0,58.0,52.0,64.0,55.75,0,0.040000000000000036,0
1,1,0,9.0,1,2.0,20.0,37.0,29.0,47.0,74.0,30.0,45.0,0,0.6980000000000001,1
1,1,1,13.0,4,0.0,87.0,95.0,47.0,44.0,53.0,87.0,57.75,0,0.08200000000000003,0
1,1,1,13.0,4,0.0,92.0,94.0,93.0,85.0,95.0,92.0,91.25,0,0.06800000000000002,0
0,1,0,10.0,3,0.0,73.0,88.0,69.0,80.0,72.0,63.0,71.0,0,0.18,0
0,1,1,11.0,4,0.0,90.0,71.0,70.0,69.0,64.0,76.0,69.75,0,0.21400000000000002,0
0,1,0,11.0,4,0.0,93.0,72.0,71.0,84.0,54.0,81.0,72.5,0,0.196,0
1,1,0,8.0,1,0.0,78.6,77.3,70.1,69.7,77.5,72.1,72.35,1,0.22180000000000002,0
1,1,1,12.0,3,1.0,87.0,87.0,65.0,40.0,51.0,48.0,51.0,0,0.13,0
0,1,0,11.3,3,0.0,91.6,81.5,62.9,64.7,68.0,70.7,66.575,1,0.14460000000000006,0
0,1,1,13.0,4,0.0,81.0,86.0,68.0,77.0,63.0,73.0,70.25,0,0.15999999999999998,0
0,1,1,10.0,1,0.0,86.0,78.0,79.0,73.0,75.0,77.0,76.0,0,0.188,0
1,1,1,13.0,4,0.0,85.0,99.0,58.0,53.0,57.0,85.0,63.25,0,0.06600000000000002,0
0,1,0,12.0,3,0.0,88.0,85.0,64.0,64.0,74.0,72.0,68.5,0,0.138,0
0,0,1,12.2,4,0.0,91.0,96.1,79.4,74.4,78.7,78.0,77.625,1,0.05940000000000001,0
0,1,1,13.0,4,0.0,77.0,81.0,54.0,51.0,61.0,55.0,55.25,0,0.20599999999999996,0
0,0,0,14.0,4,2.0,66.0,64.0,58.0,54.0,47.0,56.0,53.75,0,0.352,1
1,1,0,12.0,3,0.0,86.0,95.0,54.0,76.0,81.0,44.0,63.75,0,0.08600000000000003,0
1,1,1,6.0,0,2.0,20.0,37.0,50.0,77.0,40.0,54.0,55.25,0,0.6980000000000001,1
0,1,0,12.0,3,0.0,74.1,81.2,61.9,69.6,52.9,73.8,64.55,1,0.21639999999999998,0
1,1,1,12.0,3,0.0,98.0,93.0,88.0,58.0,81.0,41.0,67.0,0,0.049999999999999975,0
1,1,1,12.0,3,0.0,91.0,93.0,79.0,66.0,77.0,46.0,67.0,0,0.07799999999999996,0
0,1,1,11.0,0,0.0,94.0,99.0,91.0,85.0,92.0,85.0,88.25,0,0.030000000000000027,0
1,1,0,12.0,3,0.0,97.0,99.0,70.0,71.0,69.0,54.0,66.0,0,0.018000000000000016,0
1,1,1,12.0,2,1.0,70.0,93.0,65.0,57.0,52.0,78.0,63.0,0,0.16199999999999998,0
1,1,0,13.0,4,0.0,98.0,91.0,47.0,75.0,96.0,81.0,74.75,0,0.061999999999999986,0
0,0,0,14.0,4,0.0,79.9,81.8,65.4,68.7,60.8,64.8,64.92500000000001,1,0.18960000000000002,0
1,1,0,12.0,2,1.0,87.0,90.0,66.0,95.0,89.0,89.0,84.75,0,0.11199999999999999,0
0,1,1,9.0,0,0.0,88.0,89.0,64.0,59.0,65.0,71.0,64.75,0,0.11399999999999999,0
1,1,1,8.0,1,0.0,95.0,98.0,61.0,57.0,80.0,89.0,71.75,0,0.03200000000000003,0
1,1,0,11.2,0,0.0,70.5,67.9,61.9,68.1,54.3,68.6,63.225,1,0.3106,0
0,1,1,13.0,3,0.0,82.0,82.0,86.0,81.0,79.0,87.0,83.25,0,0.18000000000000005,0
0,0,0,14.0,4,0.0,87.0,90.0,90.0,78.0,77.0,81.0,81.5,0,0.11199999999999999,0
1,1,0,12.0,2,0.0,97.0,93.0,90.0,64.0,56.0,47.0,64.25,0,0.05399999999999998,0
1,1,0,12.0,3,0.0,85.0,91.0,67.0,40.0,52.0,41.0,50.0,0,0.11399999999999999,0
1,1,1,9.0,1,2.0,65.0,64.0,59.0,60.0,57.0,57.0,58.25,0,0.356,0
1,1,1,10.0,1,0.0,86.4,89.6,62.2,58.5,59.6,64.5,61.2,1,0.11680000000000001,0
1,1,0,13.0,4,0.0,89.0,88.0,74.0,88.0,79.0,85.0,81.5,0,0.11599999999999999,0
1,1,1,13.0,4,0.0,95.0,93.0,67.0,52.0,83.0,95.0,74.25,0,0.061999999999999986,0
1,1,1,5.0,0,1.0,88.0,92.0,88.0,71.0,73.0,43.0,68.75,0,0.09599999999999997,0
1,1,1,13.0,4,0.0,92.0,88.0,45.0,84.0,61.0,87.0,69.25,0,0.10399999999999998,0
0,1,0,14.0,4,0.0,89.0,87.0,77.0,66.0,69.0,73.0,71.25,0,0.122,0
1,1,0,10.1,0,0.0,81.7,78.3,63.6,69.1,62.0,61.5,64.05,1,0.20340000000000003,0
1,1,0,8.0,1,2.0,20.0,37.0,63.0,20.0,27.0,33.0,35.75,0,0.6980000000000001,1
1,1,1,7.0,0,1.0,88.0,92.0,88.0,71.0,73.0,43.0,68.75,0,0.09599999999999997,0
1,1,1,10.0,0,0.0,88.0,92.0,88.0,60.0,56.0,52.0,64.0,0,0.09599999999999997,0
0,1,1,12.0,3,0.0,89.0,73.0,75.0,74.0,74.0,92.0,78.75,0,0.20600000000000002,0
1,1,1,9.0,0,0.0,80.0,85.0,64.0,59.0,60.0,67.0,62.5,0,0.16999999999999998,0
1,1,1,13.0,4,0.0,95.0,98.0,75.0,94.0,64.0,92.0,81.25,0,0.03200000000000003,0
1,1,0,12.2,3,0.0,81.6,94.6,58.1,68.7,73.4,68.4,67.15,0,0.10600000000000005,0
0,1,0,11.2,3,0.0,83.8,78.7,72.5,63.1,66.0,71.8,68.35,0,0.1926,0
0,1,0,12.5,3,0.0,85.3,91.6,83.9,81.4,86.5,82.2,83.5,0,0.10920000000000005,0
0,1,0,10.1,0,0.0,88.4,83.8,76.3,64.2,74.8,75.2,72.625,0,0.1436,0
0,0,0,13.0,4,0.0,84.0,82.0,69.0,78.0,68.0,78.0,73.25,0,0.17200000000000004,0
0,1,1,14.0,3,0.0,76.0,69.0,70.0,68.0,61.0,70.0,67.25,0,0.28200000000000003,0
1,1,1,9.9,0,0.0,90.4,93.1,91.1,58.5,58.0,52.4,65.0,1,0.07980000000000002,0
1,1,1,13.0,4,0.0,91.0,99.0,50.0,55.0,64.0,73.0,60.5,0,0.041999999999999996,0
0,1,0,12.1,3,0.0,83.5,78.6,59.5,71.6,65.8,69.6,66.625,1,0.19440000000000007,0
1,1,1,8.0,1,0.0,96.0,90.0,66.0,55.0,65.0,96.0,70.5,0,0.076,0
1,1,1,13.0,4,0.0,86.0,90.0,93.0,58.0,86.0,82.0,79.75,0,0.11599999999999999,0
0,1,1,10.0,0,0.0,94.0,89.0,81.0,77.0,74.0,81.0,78.25,0,0.09000000000000001,0
1,1,1,13.0,4,0.0,92.0,97.0,92.0,93.0,58.0,92.0,83.75,0,0.05,0
1,1,0,7.0,1,0.0,72.8,99.5,63.5,58.8,53.0,77.3,63.150000000000006,1,0.11180000000000001,0
1,1,1,13.0,4,0.0,89.0,91.0,63.0,93.0,89.0,87.0,83.0,0,0.09799999999999998,0
0,1,0,13.6,3,0.0,71.9,75.4,42.7,52.9,51.0,48.4,48.75,1,0.25999999999999995,1
1,1,0,13.0,4,0.0,88.0,93.0,71.0,43.0,64.0,88.0,66.5,0,0.08999999999999997,0
1,1,1,12.0,2,0.0,96.0,93.0,93.0,82.0,52.0,73.0,75.0,0,0.05799999999999998,0
0,1,1,12.5,2,0.0,83.1,86.4,66.0,65.3,80.4,79.5,72.80000000000001,1,0.14919999999999994,0
1,1,0,8.0,1,0.0,74.0,82.0,75.0,76.0,57.0,54.0,65.5,0,0.21200000000000002,0
1,1,0,8.0,1,1.0,88.0,92.0,88.0,71.0,73.0,43.0,68.75,0,0.09599999999999997,0
0,0,0,12.6,4,0.0,73.6,70.1,54.4,61.9,56.3,59.2,57.95,1,0.28500000000000003,0
0,1,1,11.0,4,0.0,85.0,93.0,91.0,60.0,77.0,71.0,74.75,0,0.10199999999999998,0
1,1,1,13.0,4,0.0,87.0,99.0,94.0,56.0,65.0,87.0,75.5,0,0.05800000000000001,0
1,1,1,13.0,4,0.0,90.0,93.0,79.0,85.0,58.0,54.0,69.0,0,0.08199999999999996,0
1,1,0,13.0,4,0.0,90.0,96.0,45.0,90.0,86.0,86.0,76.75,0,0.06400000000000002,0
0,1,1,12.6,3,0.0,100.0,100.0,82.1,82.2,95.1,86.1,86.375,0,0.0,0
1,1,0,15.0,4,0.0,73.0,70.0,42.0,49.0,42.0,51.0,46.0,0,0.28800000000000003,1
1,1,1,14.0,3,0.0,93.0,95.0,76.0,71.0,79.0,83.0,77.25,0,0.05800000000000001,0
1,1,0,6.0,0,0.0,94.0,98.0,75.0,72.0,57.0,87.0,72.75,0,0.03600000000000003,1
1,1,1,8.0,1,0.0,90.0,71.0,70.0,69.0,64.0,76.0,69.75,0,0.21400000000000002,0
1,1,1,12.0,3,1.0,94.0,88.0,45.0,87.0,64.0,71.0,66.75,0,0.09600000000000002,0
0,0,1,12.0,3,2.0,71.0,67.0,50.0,50.0,40.0,44.0,46.0,0,0.314,1
1,1,1,12.0,3,0.0,96.0,90.0,88.0,94.0,83.0,89.0,88.5,0,0.076,0
1,1,1,8.0,1,3.0,20.0,37.0,38.0,22.0,45.0,47.0,38.0,0,0.6980000000000001,1
0,1,0,13.8,3,0.0,80.7,80.6,74.3,71.0,73.1,77.1,73.875,0,0.19360000000000002,0
1,1,0,12.0,3,0.0,86.0,99.0,49.0,62.0,52.0,58.0,55.25,0,0.06200000000000001,0
1,1,1,9.0,1,0.0,83.5,86.0,78.8,72.1,81.3,84.0,79.05,1,0.15000000000000002,0
0,1,1,14.0,3,0.0,88.0,95.5,77.9,81.1,73.4,83.8,79.05,1,0.07500000000000002,0
0,1,0,12.2,2,0.0,89.2,90.6,82.7,81.1,94.5,81.0,84.825,0,0.09960000000000005,0
0,1,1,14.1,3,0.0,74.2,73.0,61.4,60.4,66.6,69.1,64.375,1,0.2652,0
1,1,0,13.0,4,0.0,97.0,92.0,85.0,85.0,76.0,97.0,85.75,0,0.059999999999999984,0
1,1,0,12.0,3,0.0,91.0,99.0,91.0,47.0,62.0,59.0,64.75,0,0.041999999999999996,0
0,1,0,10.0,0,0.0,91.0,85.0,77.0,68.0,74.0,77.0,74.0,0,0.126,0
0,1,1,14.0,3,0.0,80.0,87.0,82.0,73.0,83.0,82.0,80.0,0,0.15799999999999997,0
0,1,1,12.0,4,0.0,81.0,93.0,61.0,85.0,74.0,59.0,69.75,0,0.11799999999999995,0
1,1,0,13.0,4,0.0,89.0,97.0,59.0,94.0,62.0,89.0,76.0,0,0.06200000000000001,0
0,1,0,13.0,3,0.0,86.0,82.0,69.0,70.0,75.0,75.0,72.25,0,0.16400000000000003,0
1,1,1,6.0,0,2.0,20.0,37.0,22.0,2.0,33.0,25.0,20.5,0,0.6980000000000001,1
1,1,1,13.0,4,0.0,85.0,92.0,93.0,73.0,68.0,85.0,79.75,0,0.10799999999999998,0
1,1,1,7.0,1,1.0,94.0,97.0,89.0,40.0,54.0,46.0,57.25,0,0.04200000000000004,0
1,1,0,9.0,1,1.0,88.0,92.0,88.0,71.0,73.0,43.0,68.75,0,0.09599999999999997,0
1,1,0,13.0,4,0.0,86.0,90.0,63.0,48.0,96.0,91.0,74.5,0,0.11599999999999999,0
1,1,0,13.0,4,0.0,91.0,97.0,89.0,83.0,81.0,67.0,80.0,0,0.054000000000000006,0
1,1,0,13.0,4,0.0,85.0,93.0,65.0,58.0,63.0,66.0,63.0,0,0.10199999999999998,0
0,0,1,13.0,4,0.0,76.0,77.0,58.0,60.0,60.0,65.0,60.75,0,0.23399999999999999,0
1,1,1,13.0,4,0.0,92.0,91.0,63.0,79.0,85.0,92.0,79.75,0,0.08599999999999997,0
1,1,1,12.0,3,0.0,93.0,92.0,71.0,69.0,68.0,73.0,70.25,0,0.07599999999999996,0
1,1,1,13.0,4,0.0,81.0,83.0,68.0,68.0,68.0,64.0,67.0,0,0.178,0
1,1,0,9.0,1,2.0,20.0,37.0,37.0,2.0,44.0,57.0,35.0,0,0.6980000000000001,1
1,1,1,9.0,1,2.0,20.0,37.0,35.0,20.0,36.0,64.0,38.75,0,0.6980000000000001,1
1,1,1,7.0,0,0.0,79.1,81.4,66.3,57.4,69.4,68.0,65.275,0,0.19519999999999998,0
0,1,0,10.0,0,0.0,85.0,82.0,55.0,56.0,59.0,64.0,58.5,0,0.16800000000000004,0
1,1,1,10.0,1,4.0,20.0,10.0,39.0,22.0,44.0,22.0,31.75,0,0.8600000000000001,1
0,0,0,13.0,3,0.0,92.0,85.0,69.0,57.0,68.0,68.0,65.5,0,0.122,0
1,1,1,13.0,4,0.0,86.0,99.0,87.0,62.0,91.0,76.0,79.0,0,0.06200000000000001,0
1,1,1,6.0,0,0.0,75.0,79.0,66.0,66.0,71.0,65.0,67.0,0,0.22599999999999998,0
0,0,1,13.3,3,0.0,64.7,74.5,59.3,61.1,49.3,48.0,54.425,1,0.2942,1
0,0,0,12.0,3,1.0,75.0,76.0,52.0,55.0,54.0,47.0,52.0,0,0.244,1
0,1,1,14.0,3,0.0,74.0,76.0,60.0,61.0,65.0,71.0,64.25,0,0.248,0
0,0,1,12.1,3,0.0,77.4,79.7,73.5,59.9,73.8,67.6,68.69999999999999,0,0.21219999999999994,0
0,1,1,13.0,4,0.0,90.0,97.0,95.0,94.0,96.0,91.0,94.0,0,0.05800000000000001,0
1,1,1,8.0,1,0.0,79.9,81.8,65.4,68.7,60.8,64.8,64.92500000000001,1,0.18960000000000002,0
0,1,1,13.0,4,0.0,91.0,94.0,82.0,91.0,89.0,86.0,87.0,0,0.07200000000000002,0
0,1,1,10.0,4,1.0,86.0,90.0,58.0,46.0,66.0,77.0,61.75,0,0.11599999999999999,0
1,1,0,13.0,4,0.0,95.0,93.0,55.0,45.0,53.0,76.0,57.25,0,0.061999999999999986,0
0,1,1,11.0,4,0.0,82.0,87.0,73.0,67.0,69.0,75.0,71.0,0,0.15000000000000002,0
1,1,0,5.0,0,0.0,75.0,79.0,66.0,66.0,71.0,65.0,67.0,0,0.22599999999999998,0
1,1,1,13.0,4,0.0,89.0,87.0,59.0,61.0,94.0,89.0,75.75,0,0.122,0
1,1,1,13.0,4,0.0,94.0,91.0,82.0,87.0,59.0,94.0,80.5,0,0.078,0
0,0,0,11.9,3,0.0,76.6,77.8,65.2,65.1,70.2,60.4,65.225,1,0.22680000000000003,0
1,1,1,6.0,0,0.0,76.6,77.8,65.2,65.1,70.2,60.4,65.225,1,0.22680000000000003,0
0,1,1,13.0,4,0.0,86.0,84.0,67.0,63.0,63.0,78.0,67.75,0,0.15200000000000002,0
1,1,1,13.0,4,0.0,93.0,95.0,92.0,82.0,60.0,85.0,79.75,0,0.05800000000000001,0
1,1,0,13.0,4,0.0,88.0,96.0,75.0,54.0,72.0,88.0,72.25,0,0.07200000000000002,0
1,1,0,10.0,0,0.0,86.0,84.0,66.0,54.0,68.0,59.0,61.75,0,0.15200000000000002,0
1,1,0,12.0,3,0.0,93.0,94.0,54.0,64.0,83.0,40.0,60.25,0,0.06400000000000002,0
1,1,1,8.0,1,0.0,92.0,93.0,73.0,77.0,70.0,89.0,77.25,0,0.07399999999999995,0
1,1,1,6.0,0,2.0,20.0,37.0,64.0,33.0,36.0,55.0,47.0,0,0.6980000000000001,1
1,1,0,13.0,4,1.0,93.0,87.0,78.0,50.0,95.0,43.0,66.5,0,0.10599999999999998,0
1,1,1,13.0,4,0.0,87.0,90.0,68.0,45.0,64.0,80.0,64.25,0,0.11199999999999999,0
1,1,1,13.0,4,0.0,96.0,94.0,73.0,82.0,65.0,96.0,79.0,0,0.052000000000000046,0
1,1,1,13.0,4,0.0,90.0,89.0,59.0,89.0,77.0,89.0,78.5,0,0.10599999999999998,0
1,1,0,7.0,1,3.0,20.0,37.0,33.0,19.0,36.0,30.0,29.5,0,0.6980000000000001,1
1,1,1,14.0,4,0.0,74.0,81.0,67.0,54.0,68.0,58.0,61.75,0,0.21799999999999997,0
1,1,0,5.0,0,2.0,20.0,37.0,27.0,15.0,40.0,30.0,28.0,0,0.6980000000000001,1
1,1,1,10.0,1,0.0,78.8,75.4,63.7,69.5,54.3,66.2,63.425,0,0.23240000000000002,0
0,1,1,11.2,3,0.0,85.8,76.1,71.8,53.2,71.5,59.5,64.0,0,0.20020000000000007,0
0,0,1,11.7,3,0.0,81.7,89.4,78.4,65.7,72.6,69.8,71.625,0,0.13679999999999998,0
0,0,0,14.1,4,0.0,81.3,84.8,64.3,71.7,60.5,62.3,64.7,0,0.16600000000000004,0
0,1,1,12.0,3,1.0,80.0,79.0,93.0,48.0,75.0,53.0,67.25,0,0.20599999999999996,0
1,1,1,13.0,4,0.0,88.0,92.0,94.0,73.0,61.0,62.0,72.5,0,0.09599999999999997,0
0,1,1,14.0,4,0.0,86.0,86.0,65.0,67.0,68.0,64.0,66.0,0,0.14,0
1,1,0,6.0,0,0.0,92.0,95.0,67.0,84.0,91.0,91.0,83.25,0,0.06200000000000001,0
1,1,1,10.0,1,0.0,80.7,73.5,59.4,66.1,56.8,68.0,62.575,0,0.2362,0
1,1,1,13.0,4,0.0,85.0,98.0,92.0,60.0,54.0,61.0,66.75,0,0.07200000000000002,0
1,1,0,8.0,1,0.0,77.8,80.5,70.7,56.7,76.3,65.1,67.19999999999999,1,0.20579999999999996,0
1,1,0,12.0,3,1.0,86.0,89.0,77.0,82.0,93.0,92.0,86.0,0,0.122,0
1,1,1,7.0,1,0.0,72.8,99.5,63.5,58.8,53.0,77.3,63.150000000000006,1,0.11180000000000001,0
1,1,1,9.0,1,0.0,78.6,77.3,70.1,69.7,77.5,72.1,72.35,1,0.22180000000000002,0
1,1,0,13.0,4,0.0,91.0,89.0,77.0,95.0,74.0,56.0,75.5,0,0.10199999999999998,0
0,1,0,12.0,3,0.0,83.0,82.0,69.0,64.0,68.0,73.0,68.5,0,0.17600000000000005,0
0,1,1,12.0,3,0.0,88.0,92.0,78.0,67.0,71.0,78.0,73.5,0,0.09599999999999997,0
0,1,0,13.1,3,0.0,84.1,75.0,73.7,75.5,71.0,74.2,73.6,0,0.2136,0
1,1,0,8.0,1,0.0,83.5,86.0,78.8,72.1,81.3,84.0,79.05,1,0.15000000000000002,0
1,1,0,10.6,1,0.0,85.5,68.6,73.3,49.9,83.0,72.8,69.75,1,0.24640000000000006,0
1,1,1,7.0,0,0.0,76.6,77.8,65.2,65.1,70.2,60.4,65.225,1,0.22680000000000003,0
1,1,1,6.0,0,2.0,20.0,37.0,16.0,22.0,58.0,36.0,33.0,0,0.6980000000000001,1
0,1,0,12.0,3,0.0,80.0,83.0,64.0,70.0,57.0,73.0,66.0,0,0.182,0
1,1,1,13.0,4,0.0,86.0,95.0,76.0,41.0,76.0,53.0,61.5,0,0.08600000000000003,0
1,1,1,13.0,4,0.0,87.0,92.0,74.0,59.0,59.0,87.0,69.75,0,0.09999999999999998,0
0,1,1,12.8,4,0.0,75.1,82.2,63.0,54.7,91.4,74.2,70.825,0,0.20640000000000003,0
0,1,0,14.0,4,0.0,74.0,75.0,68.0,55.0,63.0,68.0,63.5,0,0.254,0
