gamma,alpha,diff_mean,between_seed_sd,ci95_lo,ci95_hi,n_seeds_favouring_focal,is_reported_setting
0.0,0.5,0.0005318053997449016,0.0009224449520729503,-0.00043405875775201014,0.0015014760264020165,3,False
0.0,0.75,0.00033742047145900417,0.0014517465621690505,-0.0007292812652542004,0.0014240726319481182,3,False
0.0,0.9,-0.001138839640385342,0.0011798806710097353,-0.002224791192510837,-7.194752266693871e-05,0,False
1.0,0.5,-0.0016993951881726463,0.0008706725543345293,-0.0028610970451073223,-0.000570807599084141,0,False
1.0,0.75,-0.0021217632595994943,0.0011876255859631709,-0.0031870692415057666,-0.0011003670255308588,0,False
1.0,0.9,-0.0024090400472263716,0.0007863963010126746,-0.003913263983264401,-0.0010052618171244806,0,False
2.0,0.5,-0.002477361796238247,0.0009212657134703281,-0.0038551509659403176,-0.0011712252934843938,0,False
2.0,0.75,-0.0032953691140172416,0.0005988635407240526,-0.004632637614334081,-0.0020404144596359837,0,True
2.0,0.9,-0.0030608371643738386,0.0017128745694694916,-0.004686685878259403,-0.0015358352927939277,0,False
5.0,0.5,-0.0044866074283606994,0.0016489344123473998,-0.006481020989086373,-0.002572409773643686,0,False
5.0,0.75,-0.004829024917379514,0.0012000382508934673,-0.006416146053803576,-0.0033323283403597966,0,False
5.0,0.9,-0.005707186559532227,0.0009648295582126772,-0.007828481141319866,-0.0037530468695232185,0,False
