difficulty,y,n,mean_p_ref,mean_p_focal,mean_delta_p,sd_delta_p,frac_toward_truth
very hard,0,73,0.9352335031557228,0.7803675092147869,-0.1548659939409359,0.10515831303395515,0.9863013698630136
very hard,1,276,0.04028811981235847,0.16994846605514635,0.12966034624278786,0.1291324651379778,0.9927536231884058
hard,0,24,0.6088067245060885,0.5183402754835404,-0.09046644902254809,0.1910722166765061,0.6666666666666666
hard,1,48,0.3499220134954307,0.46640754807327145,0.11648553457784076,0.1743625288374708,0.75
moderate,0,25,0.36855720417519117,0.430185991170849,0.061628786995657804,0.17245878218633287,0.36
moderate,1,49,0.6397537730179225,0.5694434800237638,-0.0703102929941587,0.15575502778473835,0.4489795918367347
easy,0,35628,0.0004296219856102231,0.013442483934617335,0.01301286194900711,0.027053482273893245,0.00011227124733355787
easy,1,3077,0.9962634834314812,0.9701459219245123,-0.026117561506968884,0.044482728902690304,0.0019499512512187196
