arm,mean_fit_seconds,sd_fit_seconds,n_fits,run_dir
A_raw_ce_noW,0.12064540646799606,0.04607363360713476,250,20260922T232734Z_records
B_raw_ce_W,0.13048565722800232,0.03978775528791133,250,20260922T232734Z_records
C_raw_focal_noW,0.10637471777999917,0.04447028328210139,250,20260922T232734Z_records
D_raw_focal_W,0.1044626292360017,0.03499455400658927,250,20260922T232734Z_records
E_all_ce_noW,0.1312526282359977,0.0470637850695647,250,20260922T232734Z_records
F_all_ce_W,0.14360754039599852,0.04608618540327155,250,20260922T232734Z_records
G_all_focal_noW,0.10826285951200135,0.0340675914496693,250,20260922T232734Z_records
H_all_focal_W,0.10896083209200151,0.033414868637694405,250,20260922T232734Z_records
LEGACY_A,0.12326405253199937,0.04629796491734978,250,20260922T232734Z_records
