arm,mean,between_seed_sd,mean_within_seed_fold_sd,n_seeds,n_folds_per_seed,label
A_raw_ce_noW,0.9813876132340837,0.004381725003016952,0.027224599802126215,10,25,"Baseline LightGBM (raw, cross-entropy)"
E_all_ce_noW,0.980917252333878,0.003960255071285496,0.02592577487985905,10,25,"Composites, cross-entropy   [matched reference]"
B_raw_ce_W,0.9798579301231592,0.004239848543560631,0.02826151994645638,10,25,Baseline + class weighting
F_all_ce_W,0.979769246161682,0.0038926170615659387,0.026889686053277916,10,25,"Composites, cross-entropy + weighting"
LEGACY_A,0.9795308857868079,0.003513617384919351,0.02953600717210305,10,25,R01 baseline as published (is_unbalance=True)
D_raw_focal_W,0.9780342123319054,0.0038125678932321907,0.03028009729815887,10,25,Focal loss on raw features + weighting
C_raw_focal_noW,0.9780342123319054,0.0038125678932321907,0.03028009729815887,10,25,Focal loss on raw features  [the cell R01 never ran]
G_all_focal_noW,0.9775990882951959,0.004177699272430415,0.029603198331875517,10,25,"E-LightGBM (composites, focal loss)"
H_all_focal_W,0.9775990882951959,0.004177699272430415,0.029603198331875517,10,25,E-LightGBM + weighting
