held_out_school,arm,accuracy,precision,recall,macro_f1,auc_roc,auc_pr,tn,fp,fn,tp,n,n_positive,base_rate_pct,pred_std,pred_min,pred_max,pred_mean
AYED_RC,E_all_ce_noW,1.0,1.0,1.0,1.0,1.0,1.0,73,0,0,6,79,6,7.59,0.26480157503711815,3.9981148883035964e-08,0.999999416438672,0.07630426767891237
AYED_RC,G_all_focal_noW,1.0,1.0,1.0,1.0,1.0,1.0,73,0,0,6,79,6,7.59,0.2546480789577535,0.003093192058324452,0.9903404875404249,0.08643224610223124
AYED_RC,LEGACY_A,1.0,1.0,1.0,1.0,1.0,1.0,73,0,0,6,79,6,7.59,0.2649024252438651,2.988738281740434e-08,0.9999996565311106,0.07599845794226197
KNU_JHS,E_all_ce_noW,0.9878419452887538,0.7692307692307693,0.9090909090909091,0.9135120925341746,0.9965694682675815,0.9525691699604742,315,3,1,10,329,11,3.34,0.19460488221431643,5.114253657891598e-08,0.999999453512959,0.04202530082860359
KNU_JHS,G_all_focal_noW,0.9817629179331308,0.6666666666666666,0.9090909090909091,0.8798685491723466,0.9957118353344768,0.9475524475524476,313,5,1,10,329,11,3.34,0.19350451653903789,0.004991067423487827,0.9922254619061228,0.06857749693552422
KNU_JHS,LEGACY_A,0.9848024316109423,0.7142857142857143,0.9090909090909091,0.8960505529225908,0.9974271012006861,0.9590909090909091,314,4,1,10,329,11,3.34,0.20129877388408313,5.2543215018277616e-08,0.999999531490457,0.046804869040713126
SHI,E_all_ce_noW,0.8478260869565217,1.0,0.2631578947368421,0.6645833333333333,0.9790915645277578,0.9330518421450864,73,0,14,5,92,19,20.65,0.22661372623208664,1.1183842186893526e-07,0.9999876718705001,0.055933866939993554
SHI,G_all_focal_noW,0.8586956521739131,1.0,0.3157894736842105,0.6991194968553459,0.9250180245133381,0.8519865393762169,73,0,13,6,92,19,20.65,0.21313160194245562,0.0028947926280706677,0.9717206367996234,0.06816813648922031
SHI,LEGACY_A,0.8478260869565217,1.0,0.2631578947368421,0.6645833333333333,0.9848594087959626,0.9616706415630969,73,0,14,5,92,19,20.65,0.22861260196476657,1.05645740361219e-07,0.9999989294451083,0.058395581654202645
WEWE,E_all_ce_noW,0.9937629937629938,1.0,0.94,0.982801978427984,0.9697447795823665,0.9648402043773353,431,0,3,47,481,50,10.4,0.2964238573691916,2.660275254345484e-08,0.9999831346636526,0.0975765351132232
WEWE,G_all_focal_noW,0.9937629937629938,1.0,0.94,0.982801978427984,0.9661716937354989,0.9636463107810578,431,0,3,47,481,50,10.4,0.27950844032072547,0.0016037109633127036,0.9778444910667841,0.09870118883874976
WEWE,LEGACY_A,0.9937629937629938,1.0,0.94,0.982801978427984,0.9638515081206497,0.9645456448911223,431,0,3,47,481,50,10.4,0.29652296795115546,1.2274340153761537e-08,0.9999972396402751,0.09779531775910316
