removed_seed,remaining_mean_diff,sign,flipped
42,-0.0020845503404354924,-,False
123,-0.0020367349329740245,-,False
456,-0.002318877587414392,-,False
789,-0.0022441524845553764,-,False
1024,-0.0020346508127275123,-,False
2048,-0.0023097166837957248,-,False
3333,-0.002380147449201592,-,False
5555,-0.0021396290358430665,-,False
7777,-0.0023667552155441193,-,False
9999,-0.0022805068203709043,-,False
