held_out_school,n_val,n_val_positive,E_all_ce_noW,G_all_focal_noW,diff
AYED_RC,79,6,1.0,1.0,0.0
KNU_JHS,329,11,0.9443047071505569,0.9265951439864484,-0.017709563164108544
SHI,92,19,0.8732740774015011,0.8777709523285746,0.004496874927073513
WEWE,481,50,0.9648417685637729,0.9646200723671682,-0.00022169619660472595
