Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.9870000000000001,0.9162573099415205,0.9461988304093566,0.930298719772404,0.9750167315157137
Decision Tree,0.985,0.9222222222222222,0.9245614035087719,0.9203907203907203,0.9578759904435973
Random Forest,0.9890000000000001,1.0,0.8807017543859651,0.9360852219675749,0.9969075809654466
XGBoost,0.9890000000000001,0.9682352941176472,0.9134502923976608,0.938901098901099,0.9842777896717996
LightGBM,0.991,0.9694736842105263,0.9350877192982455,0.9506198765022296,0.9805002306020043
CatBoost,0.992,0.9777089783281735,0.9350877192982455,0.9555054302422723,0.9909712835708765
