Category,Best Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Baseline,CTGAN_250,0.995,1.0,0.9444,0.9843,0.9963,
Data Augmentation,Original,0.995,1.0,0.9444,0.9843,0.9988,0.9899
Proposed,E-LightGBM (Proposed),0.995,1.0,0.9444444444444444,0.9843444227005872,0.9966422466422468,0.978927203065134
