feature,mean_abs_shap,mean_signed_shap,sd_shap,mean_abs_shap_positives,mean_signed_shap_positives,se_signed_positives,value_shap_corr,direction,family,is_composite,model_arm,model_label,n_features_in_model,n_positive_instances_explained,rank
leap_beneficiary_status,6.269054882951905e-05,2.5434540339040212e-05,8.501351733979457e-05,4.379708139828942e-05,1.0134026866281055e-05,1.3921590398549725e-05,-0.672196103764821,higher value -> LESS dropout risk,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,38
class_level,4.471314001449465e-05,-3.4052979297683786e-06,6.587902063677253e-05,1.1226035783953763e-05,-1.8218185519599324e-06,3.2300299740740435e-06,0.6249899541937691,higher value -> MORE dropout risk,academic_performance,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,39
mode_of_transport_to_school,2.7640586947660644e-05,-6.9828185456432005e-06,3.702469270298962e-05,7.778141379558935e-06,-6.46959356654139e-06,1.5181836044862536e-06,-0.8537997899825989,categorical - see beeswarm,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,40
govt_support_missing,1.6572644875020605e-05,6.511621604874387e-06,3.701211110792972e-05,4.804023311300463e-06,4.804023311300463e-06,2.948904582856237e-07,-0.3537792179278776,higher value -> LESS dropout risk,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,41
missed_school_for_choreswork,3.9674391887196025e-06,6.375664213030975e-07,6.1710494878267985e-06,2.335920694859718e-06,2.335920694859718e-06,3.0726050113887844e-07,0.8263602095537066,higher value -> MORE dropout risk,attendance_trajectory,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,42
no_of_siblings_in_school_missing,1.3020792937804582e-09,3.4076815450466306e-10,2.330124615774411e-09,2.0742794279633193e-10,1.0293519164751748e-10,5.397065730953386e-11,-0.6978094056289795,higher value -> LESS dropout risk,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,43
home_has_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,44
family_income_level_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,45
parent_guardian_education_level_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,household_economic,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,46
daily_study_hours_at_home_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,behavioural_engagement,False,G_all_focal_noW,"E-LightGBM (composites, focal loss)",47,14,47
