feature,mean_abs_shap,mean_signed_shap,sd_shap,mean_abs_shap_positives,mean_signed_shap_positives,se_signed_positives,value_shap_corr,direction,family,is_composite,model_arm,model_label,n_features_in_model,n_positive_instances_explained,rank
class_level,0.019228990333303105,0.002665563953317278,0.024699832878196173,0.03589538017557331,0.023906049070612976,0.009916663069339918,-0.7313479586374069,higher value -> LESS dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,26
no_of_siblings_in_school,0.018626025603151707,-0.00038745251071618754,0.031120195917936536,0.04486303981567245,0.02897614393235646,0.01544103864603267,-0.6576165875851337,higher value -> LESS dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,27
missed_school_due_to_illness,0.017226148334224246,0.002783227989313922,0.02246342943907916,0.026665918658437555,0.008428632896604617,0.008437565406965634,0.8009649397929649,higher value -> MORE dropout risk,attendance_trajectory,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,28
parent_guardian_occupation,0.014903335791290136,7.64457173680998e-05,0.02269385223647733,0.036195108485067636,0.01133347406237353,0.010438136994603463,-0.6160904223536089,categorical - see beeswarm,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,29
extracurricular_activities_missing,0.006245963047087349,0.0003136212383344187,0.010890564860412394,0.014546240057347446,0.0005875287848078986,0.005078789344710878,-0.4549891141849513,higher value -> LESS dropout risk,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,30
mode_of_transport_to_school,0.0037044078067553356,-0.000472008779161999,0.007080317092394802,0.005199170588329781,-0.0029141228042449665,0.0016184962675967868,-0.8536496371389828,categorical - see beeswarm,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,31
travel_time_to_school,0.0025108959600275284,0.0007887029995331101,0.004492424608153154,0.0031293850763490375,0.001956007736837942,0.0009706031943732959,0.661201852434703,higher value -> MORE dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,32
govt_support_missing,0.0024682994857981675,0.0006186841047881852,0.007041294667369141,0.0010198621480040188,-0.0010198621480040188,0.0002025029391680055,0.5649732445072788,higher value -> MORE dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,33
no_of_siblings_in_school_missing,0.0015561529104539554,-0.00010843060954968906,0.0031457884404529264,0.004182433128806317,0.0006719936221987637,0.002147009406268023,0.6982708517779426,higher value -> MORE dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,34
geographic_zone,5.8896688491640544e-05,1.5653058898918763e-05,0.00014308569258511273,0.0003445926688827325,-5.089148307520591e-05,0.00011330263044944682,-0.6992051788015173,categorical - see beeswarm,school_administrative,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,35
leap_beneficiary_status,4.85058367659311e-05,-3.874055350716664e-05,5.5333456939473855e-05,1.8450661185782243e-05,-1.7761405885063598e-05,2.9926703282505004e-06,0.6721632723889294,higher value -> MORE dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,36
grade_repetition_count_missing,3.797602994562986e-05,1.2741470730403952e-05,5.8078570038917404e-05,8.603051382013867e-06,8.603051382013867e-06,4.733613325826278e-07,-0.5518476037840898,higher value -> LESS dropout risk,academic_performance,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,37
parent_guardian_education_level_missing,3.656669612193968e-05,9.32350157831297e-06,7.909198686787078e-05,5.7397683465040945e-06,5.7397683465040945e-06,3.28021100103565e-07,-0.33207633236315665,higher value -> LESS dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,38
missed_school_for_choreswork,3.033975196421452e-05,4.141925993106627e-06,3.8590557741105845e-05,1.0516831952701194e-05,1.0516831952701194e-05,3.3122034734413764e-07,0.826330098926772,higher value -> MORE dropout risk,attendance_trajectory,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,39
school_feeding_status,2.061850144493667e-05,-1.7606972250923595e-06,2.5957536820506232e-05,1.166192499792802e-05,-2.226766159535256e-06,3.650009605288985e-06,0.8639166972356156,higher value -> MORE dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,40
home_has_electricity,1.399780522109222e-05,7.778494985895278e-07,2.5018654627664213e-05,9.567226615198175e-06,-7.934559224562625e-06,2.140388288846361e-06,0.5774961674454003,higher value -> MORE dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,41
govt_support,6.904962680835791e-06,-3.846883999450629e-07,1.1699573699616407e-05,4.13279594920615e-06,3.0470218513753774e-06,9.542238449509459e-07,-0.8389006131205903,higher value -> LESS dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,42
extracurricular_activities,6.493736111741368e-06,-2.451798804195881e-06,1.7452523605600618e-05,2.052031135033853e-06,-8.495575060037694e-07,1.3160712590180376e-06,-0.8228075736320318,higher value -> LESS dropout risk,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,43
leap_beneficiary_status_missing,5.761055933280989e-06,-1.4960111909647152e-07,1.084196538110123e-05,7.021817275486317e-07,7.021817275486317e-07,3.520533093354784e-08,-0.5382197249685566,higher value -> LESS dropout risk,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,44
gender,5.127458265242749e-07,-1.4603687788090125e-07,6.456511664159053e-07,9.691332965191916e-08,-1.0326375716664859e-08,2.7330934587645145e-08,0.8488844336906745,categorical - see beeswarm,demographic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,45
family_income_level_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,household_economic,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,46
daily_study_hours_at_home_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no consistent direction,behavioural_engagement,False,E_all_ce_noW,"Composites, cross-entropy   [matched reference]",47,14,47
